ecotype_id,country,latitude,longitude,pop,nativename
403,Czech Republic,49.3667,16.2667,Austria-Hungary,Zdarec3
404,Czech Republic,49.4211,16.3497,Austria-Hungary,Doubravnik1
407,Czech Republic,49.4211,16.3497,Austria-Hungary,Doubravnik4
409,Czech Republic,49.4211,16.3497,Austria-Hungary,Doubravnik6
413,Czech Republic,49.4211,16.3497,Austria-Hungary,Doubravnik10
417,Czech Republic,49.4211,16.3497,Austria-Hungary,Doubravnik14
421,Czech Republic,49.4211,16.3497,Austria-Hungary,Doubravnik18
424,Czech Republic,49.4112,16.2815,Austria-Hungary,Draha2
428,Czech Republic,49.403,16.232,Austria-Hungary,Borky1
429,Czech Republic,49.403,16.232,Austria-Hungary,Borky2
5837,Czech Republic,49.4013,16.2326,Austria-Hungary,Bor-1
5838,Czech Republic,49.4013,16.2326,Austria-Hungary,Bor-2
5841,Czech Republic,49.4013,16.2326,Austria-Hungary,Bor-9
5846,Czech Republic,49.4013,16.2326,Austria-Hungary,Bor-15
5848,Czech Republic,49.4013,16.2326,Austria-Hungary,Bor-17
5871,Czech Republic,49.4112,16.2815,Austria-Hungary,DraII-2
5872,Czech Republic,49.4112,16.2815,Austria-Hungary,DraII-3
5873,Czech Republic,49.4112,16.2815,Austria-Hungary,DraII-4
5874,Czech Republic,49.4112,16.2815,Austria-Hungary,DraII-6
5875,Czech Republic,49.4112,16.2815,Austria-Hungary,DraII-7
5878,Czech Republic,49.4112,16.2815,Austria-Hungary,DraII-17
5883,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIII-17
5884,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 1-1
5887,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 1-5
5888,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 1-6
5891,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 1-9
5893,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 1-11
5894,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 1-12
5895,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 1-13
5896,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 1-14
5898,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 1-16
5899,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-1
5900,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-2
5901,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-3
5902,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-4
5904,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-6
5905,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-7
5906,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-8
5908,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-10
5910,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-12
5911,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-13
5913,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-16
5914,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 2-17
5915,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 3-1
5916,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 3-2
5919,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 3-5
5920,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 3-6
5921,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 3-7
5922,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 3-8
5923,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 3-9
5924,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 3-10
5926,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 3-12
5927,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 3-13
5932,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 4-1
5933,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 4-2
5934,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 4-3
5935,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 4-5
5938,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 4-8
5939,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 4-9
5940,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-1
5942,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-3
5943,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-4
5945,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-7
5946,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-8
5948,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-10
5953,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-16
5955,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-18
5956,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-19
5959,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-22
5961,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-24
5963,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-27
5966,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-30
5968,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-32
5969,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-33
5970,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 5-35
5972,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-1
5975,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-4
5979,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-8
5982,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-11
5983,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-12
5984,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-13
5987,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-16
5988,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-17
5990,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-19
5991,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-20
5992,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-21
5993,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-22
5994,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-24
5996,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-26
5997,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-27
5998,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-28
5999,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-29
6003,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-33
6004,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-34
6005,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-35
6007,Czech Republic,49.4112,16.2815,Austria-Hungary,DraIV 6-37
6008,Czech Republic,49.1,16.2,Austria-Hungary,Duk
6287,Czech Republic,49.2771,16.6314,Austria-Hungary,Udu-9
6309,Czech Republic,49.2771,16.6314,Austria-Hungary,UduI 1-25
6318,Czech Republic,49.2771,16.6314,Austria-Hungary,UduI 1-34
6396,Czech Republic,49.2771,16.6314,Austria-Hungary,UduI 4-9
6401,Czech Republic,49.2771,16.6314,Austria-Hungary,UduI 4-16
6402,Czech Republic,49.2771,16.6314,Austria-Hungary,UduI 4-17
6403,Czech Republic,49.2771,16.6314,Austria-Hungary,UduI 4-18
6416,Czech Republic,49.3853,16.2544,Austria-Hungary,Zdr-13
6417,Czech Republic,49.3853,16.2544,Austria-Hungary,Zdr-16
6418,Czech Republic,49.3853,16.2544,Austria-Hungary,Zdr-19
6421,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 1-8
6427,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-1
6435,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-10
6436,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-11
6444,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-20
6445,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-21
6446,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-22
6448,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-24
6449,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-25
6451,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-28
6453,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-30
6455,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-32
6458,Czech Republic,49.3853,16.2544,Austria-Hungary,ZdrI 2-36
6903,Czech Republic,49.4013,16.2326,Austria-Hungary,Bor-4
6904,Czech Republic,49.2,16.6166,Austria-Hungary,Br-0
6951,Czech Republic,49.42,16.36,Austria-Hungary,Pu2-23
6953,Czech Republic,49.42,16.36,Austria-Hungary,Pu2-24
6957,Czech Republic,49.42,16.36,Austria-Hungary,Pu2-8
6975,Austria,48.3,14.45,Austria-Hungary,Uod-1
6976,Austria,48.3,14.45,Austria-Hungary,Uod-7
6984,Czech Republic,49.3853,16.2544,Austria-Hungary,Zdr-1
6985,Czech Republic,49.3853,16.2544,Austria-Hungary,Zdr-6
7034,Czech Republic,48,19,Austria-Hungary,Blh-1
7035,Czech Republic,48,19,Austria-Hungary,Blh-2
7104,Czech Republic,49.4167,16.2667,Austria-Hungary,Dra-1
7105,Czech Republic,49.4167,16.2667,Austria-Hungary,Dra-2
7178,Czech Republic,49,15,Austria-Hungary,Jm-1
7283,Romania,44.7203,22.3955,Austria-Hungary,Ors-1
7284,Romania,44.7203,22.3955,Austria-Hungary,Ors-2
